timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
2025-07-13T11:10:05.484040,13328,-2204,10780,-579,892,-283,sitting
2025-07-13T11:10:05.484040,13316,-2168,10724,-568,880,-282,sitting
2025-07-13T11:10:05.484040,13240,-2252,10716,-576,863,-299,sitting
2025-07-13T11:10:05.484040,13268,-2200,10732,-555,861,-269,sitting
2025-07-13T11:10:05.484040,13388,-2244,10748,-556,883,-257,sitting
2025-07-13T11:10:05.484040,13364,-2324,10652,-499,841,-257,sitting
2025-07-13T11:10:05.484040,13380,-2212,10800,-557,890,-259,sitting
2025-07-13T11:10:05.484040,13356,-2244,10668,-577,916,-328,sitting
2025-07-13T11:10:05.484040,13260,-2248,10772,-593,895,-305,sitting
2025-07-13T11:10:05.484040,13304,-2240,10904,-573,848,-257,sitting
2025-07-13T11:10:05.484040,13220,-2192,10696,-537,860,-293,sitting
2025-07-13T11:10:05.484040,13308,-2172,10820,-524,862,-330,sitting
2025-07-13T11:10:05.484040,13240,-2212,10688,-572,897,-294,sitting
2025-07-13T11:10:05.484040,13344,-2168,10976,-598,882,-292,sitting
2025-07-13T11:10:05.484040,13212,-2256,10792,-549,862,-299,sitting
2025-07-13T11:10:05.484040,13368,-2240,10700,-516,850,-262,sitting
2025-07-13T11:10:05.484040,13296,-2280,10704,-536,859,-300,sitting
2025-07-13T11:10:05.484040,13448,-2256,10696,-535,919,-293,sitting
2025-07-13T11:10:05.484040,13356,-2196,10748,-557,919,-271,sitting
2025-07-13T11:10:05.484040,13316,-2124,10588,-545,900,-266,sitting
2025-07-13T11:10:05.484040,13316,-2296,10768,-549,858,-269,sitting
2025-07-13T11:10:05.484040,13324,-2356,10820,-542,843,-268,sitting
2025-07-13T11:10:05.484040,13344,-2088,10628,-541,883,-280,sitting
2025-07-13T11:10:05.484040,13312,-2184,10772,-575,880,-301,sitting
2025-07-13T11:10:05.484040,13328,-2200,10636,-569,867,-278,sitting
2025-07-13T11:10:05.484040,13320,-2276,10776,-536,938,-302,sitting
2025-07-13T11:10:05.484040,13252,-2312,10712,-531,996,-253,sitting
2025-07-13T11:10:05.484040,13312,-2208,10652,-581,910,-269,sitting
2025-07-13T11:10:05.484040,13332,-2248,10748,-543,809,-297,sitting
2025-07-13T11:10:05.484040,13332,-2256,10856,-470,780,-306,sitting
2025-07-13T11:10:05.484040,13400,-2256,10676,-553,878,-305,sitting
